"game","division","rally_in_game","rally_cum","shot_index","hitter_name","hitter_uuid","shot_type","rally_note","serve_time_s"
"1","womens","2","2","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","",""
"1","womens","2","2","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","",""
"1","womens","2","2","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","drive","",""
"1","womens","2","2","5","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","drop","",""
"1","womens","2","2","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","2","2","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","2","2","8","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","",""
"1","womens","2","2","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","2","2","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","",""
"1","womens","2","2","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","3","3","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","Nelson's shot was out, Jones does something that looks like a shot after but the ball was out","91.19"
"1","womens","3","3","2","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","return","",""
"1","womens","3","3","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","",""
"1","womens","3","3","4","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","",""
"1","womens","3","3","5","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","3","3","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","3","3","7","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","3","3","8","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","",""
"1","womens","3","3","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lob","",""
"1","womens","3","3","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","lob","",""
"1","womens","3","3","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","smash","",""
"1","womens","3","3","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","drive","",""
"1","womens","3","3","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","3","3","14","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","3","3","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","speed-up","",""
"1","womens","3","3","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","3","3","17","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","",""
"1","womens","4","4","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","Wei dinks into the net, unforced error","118.88"
"1","womens","4","4","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","",""
"1","womens","4","4","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","4","4","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","",""
"1","womens","4","4","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","4","4","6","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","4","4","7","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","4","4","8","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","4","4","9","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","4","4","10","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","",""
"1","womens","4","4","11","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","4","4","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","4","4","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","4","4","14","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","4","4","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","4","4","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","5","5","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","","146.57"
"1","womens","5","5","2","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","return","",""
"1","womens","5","5","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","",""
"1","womens","5","5","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","5","5","5","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lob","",""
"1","womens","5","5","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","smash","",""
"1","womens","5","5","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","5","5","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","5","5","9","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","5","5","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","5","5","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","5","5","12","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","5","5","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","5","5","14","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","6","6","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","Shot five, both went for the ball. Unforced error by Jones ends the poin t","166.15"
"1","womens","6","6","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","",""
"1","womens","6","6","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","6","6","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","",""
"1","womens","6","6","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","6","6","6","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","6","6","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","7","7","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","Jones goes for the last ball, barely touches it","190.68"
"1","womens","7","7","2","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","return","",""
"1","womens","7","7","3","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","7","7","4","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","7","7","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","",""
"1","womens","7","7","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","7","7","7","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","smash","",""
"1","womens","7","7","8","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","7","7","9","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","",""
"1","womens","7","7","10","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","8","8","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","","211.85"
"1","womens","8","8","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","",""
"1","womens","8","8","3","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","8","8","4","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","speed-up","",""
"1","womens","8","8","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","8","8","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","8","8","7","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","9","9","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","","254.10"
"1","womens","9","9","2","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","return","",""
"1","womens","9","9","3","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","drop","",""
"1","womens","9","9","4","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","","",""
"1","womens","10","10","1","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","serve","shot 14 both went for it (Wei speed up is unforced error)","295.78"
"1","womens","10","10","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","",""
"1","womens","10","10","3","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","drop","",""
"1","womens","10","10","4","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","10","10","5","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","",""
"1","womens","10","10","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","10","10","7","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","10","10","8","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","10","10","9","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","10","10","10","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","10","10","11","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","10","10","12","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","10","10","13","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","10","10","14","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","10","10","15","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","",""
"1","womens","11","11","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","shot 19 both go for the ball, shot 21 both go for the ball, shot 22 both go backwards for a lob, wei hits it, error shot 29","332.16"
"1","womens","11","11","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","",""
"1","womens","11","11","3","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lob","",""
"1","womens","11","11","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","smash","",""
"1","womens","11","11","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","",""
"1","womens","11","11","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","11","11","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","11","11","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","11","11","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","11","11","10","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","11","11","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","11","11","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","11","11","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","11","11","14","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","11","11","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","11","11","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","11","11","17","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","speed-up","",""
"1","womens","11","11","18","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","11","11","19","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","11","11","20","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","11","11","21","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lob","",""
"1","womens","11","11","22","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","lob","",""
"1","womens","11","11","23","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","",""
"1","womens","11","11","24","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","drive","",""
"1","womens","11","11","25","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","11","11","26","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","11","11","27","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","11","11","28","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","11","11","29","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","12","12","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","Shot 7, tuionetoa hits it, jones ducks out of the way, shot 26 both go for it, nelson error","359.00"
"1","womens","12","12","2","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","return","",""
"1","womens","12","12","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","12","12","4","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","12","12","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","12","12","6","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","lob","",""
"1","womens","12","12","7","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","smash","",""
"1","womens","12","12","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","12","12","9","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","smash","",""
"1","womens","12","12","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","12","12","11","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","",""
"1","womens","12","12","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","12","12","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","smash","",""
"1","womens","12","12","14","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","12","12","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","smash","",""
"1","womens","12","12","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","drive","",""
"1","womens","12","12","17","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","12","12","18","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","drop","",""
"1","womens","12","12","19","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","",""
"1","womens","12","12","20","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","",""
"1","womens","12","12","21","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","12","12","22","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","12","12","23","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","speed-up","",""
"1","womens","12","12","24","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","12","12","25","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","smash","",""
"1","womens","12","12","26","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","",""
"1","womens","13","13","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","Return went out, neither player moved for it","391.59"
"1","womens","13","13","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","",""
"1","womens","14","14","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","","408.49"
"1","womens","14","14","2","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","return","",""
"1","womens","14","14","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","",""
"1","womens","14","14","4","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","",""
"1","womens","14","14","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drop","",""
"1","womens","14","14","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","14","14","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","14","14","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","",""
"1","womens","14","14","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","14","14","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","lob","",""
"1","womens","14","14","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","",""
"1","womens","15","15","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","Jones moves weirdly after Tuionetoa misses the return","428.47"
"1","womens","15","15","2","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","return","",""
"1","womens","16","16","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","Tuionetoa tries to hit shot 8 but misses","456.75"
"1","womens","16","16","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","",""
"1","womens","16","16","3","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","drop","",""
"1","womens","16","16","4","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","",""
"1","womens","16","16","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","",""
"1","womens","16","16","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","",""
"1","womens","16","16","7","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","",""
"1","womens","17","17","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","",""
"1","womens","17","17","2","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","return","",""
"1","womens","18","18","1","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","serve","","91.11"
"1","womens","18","18","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","",""
"2","mens","9","43","1","Tama Shimabukuro","4af4d4d1-9f87-4dc7-95f2-b10751d44c15","serve","",""
"2","mens","9","43","2","AJ Koller","50c2125b-406c-41e7-aad6-5432c7cd8e1c","return","",""
"2","mens","15","49","1","John Lucian Goins","e96d9339-cfb6-473d-bcb3-23f2887a3e0f","serve","",""
"2","mens","15","49","2","Tama Shimabukuro","4af4d4d1-9f87-4dc7-95f2-b10751d44c15","return","",""
