rally_cum,flight,bounce_index,t_from_s,t_to_s,hitter_from,hitter_to,call,t_bounce_s,x_px,y_px,video_name
14,2,1,360.113,361.661,Ting Chieh Wei,Etta Tuionetoa,bounce,361.333,463,593,full_match.mp4.webm
14,3,0,361.661,362.456,Etta Tuionetoa,Ting Chieh Wei,volley,,,,full_match.mp4.webm
14,4,1,362.456,363.380,Ting Chieh Wei,Etta Tuionetoa,bounce,363.283,528,581,full_match.mp4.webm
14,5,0,363.380,364.441,Etta Tuionetoa,Emma Nelson,volley,,,,full_match.mp4.webm
14,6,0,364.441,365.644,Emma Nelson,Allyce Jones,unsure,,,,full_match.mp4.webm
14,7,1,365.644,366.836,Allyce Jones,Emma Nelson,bounce,366.533,446,283,full_match.mp4.webm
14,8,1,366.836,368.113,Emma Nelson,Allyce Jones,bounce,367.814,661,377,full_match.mp4.webm
14,9,1,368.113,369.292,Allyce Jones,Ting Chieh Wei,bounce,369.015,876,271,full_match.mp4.webm
14,10,1,369.292,371.543,Ting Chieh Wei,Etta Tuionetoa,bounce,370.858,507,635,full_match.mp4.webm
14,11,0,371.543,374.043,Etta Tuionetoa,,nobounce,,,,full_match.mp4.webm
15,1,1,391.472,392.481,Emma Nelson,Etta Tuionetoa,bounce,392.246,864,567,full_match.mp4.webm
15,2,1,392.481,394.981,Etta Tuionetoa,,bounce,393.297,682,326,full_match.mp4.webm
16,1,1,408.527,409.699,Emma Nelson,Allyce Jones,bounce,409.119,678,306,full_match.mp4.webm
16,1,2,408.527,409.699,Emma Nelson,Allyce Jones,bounce,409.208,549,511,full_match.mp4.webm
16,2,1,409.699,411.015,Allyce Jones,Ting Chieh Wei,bounce,410.624,722,231,full_match.mp4.webm
16,3,0,411.015,411.949,Ting Chieh Wei,Allyce Jones,volley,,,,full_match.mp4.webm
16,4,1,411.949,412.941,Allyce Jones,Ting Chieh Wei,bounce,412.644,759,268,full_match.mp4.webm
16,5,0,412.941,413.385,Ting Chieh Wei,Etta Tuionetoa,volley,,,,full_match.mp4.webm
16,6,0,413.385,414.032,Etta Tuionetoa,Ting Chieh Wei,volley,,,,full_match.mp4.webm
16,7,0,414.032,416.532,Ting Chieh Wei,,volley,,,,full_match.mp4.webm
18,1,1,456.686,458.519,Ting Chieh Wei,Allyce Jones,bounce,458.177,417,570,full_match.mp4.webm
18,2,1,458.519,459.912,Allyce Jones,Emma Nelson,bounce,459.563,452,213,full_match.mp4.webm
18,3,0,459.912,462.412,Emma Nelson,,nobounce,,,,full_match.mp4.webm
19,1,1,478.291,479.753,Etta Tuionetoa,Emma Nelson,bounce,479.392,479,207,full_match.mp4.webm
19,2,0,479.753,482.253,Emma Nelson,,nobounce,,,,full_match.mp4.webm
20,1,1,485.284,486.733,Etta Tuionetoa,Ting Chieh Wei,bounce,486.301,372,540,full_match.mp4.webm
20,1,2,485.284,486.733,Etta Tuionetoa,Ting Chieh Wei,bounce,487.510,692,229,full_match.mp4.webm
20,2,1,486.733,487.902,Ting Chieh Wei,Etta Tuionetoa,bounce,487.522,700,220,full_match.mp4.webm
20,3,0,487.902,488.479,Etta Tuionetoa,Ting Chieh Wei,volley,,,,full_match.mp4.webm
20,4,1,488.479,489.565,Ting Chieh Wei,Etta Tuionetoa,bounce,489.235,753,224,full_match.mp4.webm
20,4,2,488.479,489.565,Ting Chieh Wei,Etta Tuionetoa,bounce,489.248,748,226,full_match.mp4.webm
20,5,1,489.565,490.818,Etta Tuionetoa,Emma Nelson,bounce,490.518,868,379,full_match.mp4.webm
20,6,1,490.818,491.713,Emma Nelson,Allyce Jones,bounce,491.595,593,266,full_match.mp4.webm
20,7,1,491.713,492.902,Allyce Jones,Ting Chieh Wei,bounce,492.550,446,411,full_match.mp4.webm
20,8,1,492.902,493.633,Ting Chieh Wei,Etta Tuionetoa,bounce,493.611,788,276,full_match.mp4.webm
20,9,0,493.633,494.604,Etta Tuionetoa,Emma Nelson,unsure,,,,full_match.mp4.webm
20,10,1,494.604,495.714,Emma Nelson,Etta Tuionetoa,bounce,495.613,619,268,full_match.mp4.webm
20,11,1,495.714,496.965,Etta Tuionetoa,Emma Nelson,bounce,496.652,919,431,full_match.mp4.webm
20,12,1,496.965,498.102,Emma Nelson,Etta Tuionetoa,bounce,497.857,814,278,full_match.mp4.webm
20,13,0,498.102,498.720,Etta Tuionetoa,Emma Nelson,volley,,,,full_match.mp4.webm
20,14,1,498.720,499.432,Emma Nelson,Allyce Jones,bounce,499.375,640,265,full_match.mp4.webm
20,15,0,499.432,500.725,Allyce Jones,Ting Chieh Wei,volley,,,,full_match.mp4.webm
20,16,1,500.725,501.612,Ting Chieh Wei,Allyce Jones,bounce,501.468,607,271,full_match.mp4.webm
20,17,1,501.612,502.968,Allyce Jones,Ting Chieh Wei,bounce,502.621,618,411,full_match.mp4.webm
20,18,1,502.968,504.506,Ting Chieh Wei,Etta Tuionetoa,bounce,503.690,635,252,full_match.mp4.webm
20,19,0,504.506,504.637,Etta Tuionetoa,Ting Chieh Wei,volley,,,,full_match.mp4.webm
20,20,1,504.637,507.137,Ting Chieh Wei,,bounce,505.336,647,286,full_match.mp4.webm
21,1,1,516.992,518.089,Etta Tuionetoa,Emma Nelson,bounce,517.766,887,546,full_match.mp4.webm
21,1,2,516.992,518.089,Etta Tuionetoa,Emma Nelson,bounce,520.963,652,581,full_match.mp4.webm
21,2,1,518.089,519.359,Emma Nelson,Etta Tuionetoa,bounce,519.102,662,206,full_match.mp4.webm
21,3,1,519.359,520.296,Etta Tuionetoa,Emma Nelson,bounce,520.784,489,234,full_match.mp4.webm
21,4,1,520.296,521.024,Emma Nelson,Allyce Jones,bounce,520.387,501,501,full_match.mp4.webm
21,4,2,520.296,521.024,Emma Nelson,Allyce Jones,bounce,520.805,481,231,full_match.mp4.webm
21,5,0,521.024,521.620,Allyce Jones,Ting Chieh Wei,volley,,,,full_match.mp4.webm
21,6,1,521.620,524.120,Ting Chieh Wei,,bounce,522.122,608,341,full_match.mp4.webm
