rally_cum,team,swap,unanimity,n
16,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.50,10
18,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
20,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
24,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
33,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,10
37,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,0.90,10
39,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.60,10
42,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,9
50,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,8
51,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,10
53,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
54,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,5
55,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
58,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,8
59,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,5
60,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
63,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
65,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,5
67,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,5
69,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,10
70,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,8
71,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
73,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,9
77,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
79,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
80,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,7
81,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,6
82,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,10
84,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
85,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,9
86,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
87,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,5
88,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
89,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.78,9
92,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,5
93,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,9
94,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,5
95,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,5
97,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
98,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,5
99,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
100,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,5
101,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,8
102,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,10
104,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,5
107,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.83,6
110,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.70,10
112,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,6
113,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.90,10
114,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.90,10
116,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
118,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
120,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.50,10
124,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.89,9
126,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.90,10
131,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,4
140,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.78,9
