"game","division","rally_in_game","rally_cum","shot_index","hitter_name","hitter_uuid","shot_type","contact","t_tap_s","t_refined_s","tap_rate","source","rally_note","pin_ref_s","video_name","video_dur_s"
"1","womens","1","1","22","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","1","28.932","","0.25","prefill","","","",""
"1","womens","1","1","23","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","1","29.369","","0.25","prefill","","","",""
"1","womens","1","1","24","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","1","30.020","","0.25","prefill","","","",""
"1","womens","1","1","25","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","1","30.869","","0.25","prefill","","","",""
"1","womens","1","1","26","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","whiff","0","31.421","","0.25","manual","","","",""
"1","womens","2","2","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","1","40.544","","0.25","prefill","shot 11: forced error from Tuionetoa","40.64","full_match.mp4.webm","4820.0"
"1","womens","2","2","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","1","42.070","","0.25","prefill","","","",""
"1","womens","2","2","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","1","43.325","","0.25","prefill","","","",""
"1","womens","2","2","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","drive","1","44.034","","0.25","prefill","","","",""
"1","womens","2","2","5","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","drop","1","44.889","","0.25","prefill","","","",""
"1","womens","2","2","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","45.821","","0.25","prefill","","","",""
"1","womens","2","2","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","46.747","","0.25","prefill","","","",""
"1","womens","2","2","8","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","1","47.729","","0.25","prefill","","","",""
"1","womens","2","2","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","1","48.267","","0.25","prefill","","","",""
"1","womens","2","2","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","1","49.146","","0.25","prefill","","","",""
"1","womens","2","2","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","1","49.471","","0.25","prefill","","","",""
"1","womens","3","3","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","1","59.427","","0.25","prefill","Nelson's shot was out, Jones does something that looks like a shot after but the ball was out","","full_match.mp4.webm","4820.0"
"1","womens","3","3","2","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","return","1","60.591","","0.25","prefill","","","",""
"1","womens","3","3","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","1","61.872","","0.25","prefill","","","",""
"1","womens","3","3","4","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","smash","1","62.462","","0.25","prefill","","","",""
"1","womens","3","3","5","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","1","63.167","","0.25","prefill","","","",""
"1","womens","3","3","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","1","64.140","","0.25","prefill","","","",""
"1","womens","3","3","7","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","65.081","","0.25","prefill","","","",""
"1","womens","3","3","8","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","1","65.971","","0.25","prefill","","","",""
"1","womens","3","3","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lob","1","66.597","","0.25","prefill","","","",""
"1","womens","3","3","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","lob","1","68.990","","0.25","prefill","","","",""
"1","womens","3","3","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","smash","1","71.063","","0.25","prefill","","","",""
"1","womens","3","3","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","drive","1","71.869","","0.25","prefill","","","",""
"1","womens","3","3","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","1","72.669","","0.25","prefill","","","",""
"1","womens","3","3","14","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","1","73.608","","0.25","prefill","","","",""
"1","womens","3","3","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","speed-up","1","74.586","","0.25","prefill","","","",""
"1","womens","3","3","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","75.152","","0.25","prefill","","","",""
"1","womens","3","3","17","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","1","75.810","","0.25","prefill","","","",""
"1","womens","4","4","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","1","91.155","","0.25","prefill","Wei dinks into the net, unforced error","118.88","full_match.mp4.webm","4820.0"
"1","womens","4","4","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","1","92.318","","0.25","prefill","","","",""
"1","womens","4","4","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","93.441","","0.25","prefill","","","",""
"1","womens","4","4","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","1","94.265","","0.25","prefill","","","",""
"1","womens","4","4","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","1","94.724","","0.25","prefill","","","",""
"1","womens","4","4","6","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","95.642","","0.25","prefill","","","",""
"1","womens","4","4","7","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","96.696","","0.25","prefill","","","",""
"1","womens","4","4","8","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","1","97.600","","0.25","prefill","","","",""
"1","womens","4","4","9","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","98.294","","0.25","prefill","","","",""
"1","womens","4","4","10","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","1","99.158","","0.25","prefill","","","",""
"1","womens","4","4","11","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","counter","1","99.579","","0.25","prefill","","","",""
"1","womens","4","4","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","100.627","","0.25","prefill","","","",""
"1","womens","4","4","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","101.005","","0.25","prefill","","","",""
"1","womens","4","4","14","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","102.213","","0.25","prefill","","","",""
"1","womens","4","4","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","102.866","","0.25","prefill","","","",""
"1","womens","4","4","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","1","103.686","","0.25","prefill","","","",""
"1","womens","5","5","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","1","118.779","","0.25","prefill","","146.57","full_match.mp4.webm","4820.0"
"1","womens","5","5","2","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","return","1","119.938","","0.25","prefill","","","",""
"1","womens","5","5","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","1","121.298","","0.25","prefill","","","",""
"1","womens","5","5","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","1","121.876","","0.25","prefill","","","",""
"1","womens","5","5","5","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lob","1","122.991","","0.25","prefill","","","",""
"1","womens","5","5","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","smash","1","124.391","","0.25","prefill","","","",""
"1","womens","5","5","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","125.106","","0.25","prefill","","","",""
"1","womens","5","5","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","126.331","","0.25","prefill","","","",""
"1","womens","5","5","9","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","127.163","","0.25","prefill","","","",""
"1","womens","5","5","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","1","128.696","","0.25","prefill","","","",""
"1","womens","5","5","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","129.443","","0.25","prefill","","","",""
"1","womens","5","5","12","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","130.707","","0.25","prefill","","","",""
"1","womens","5","5","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","131.416","","0.25","prefill","","","",""
"1","womens","5","5","14","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","1","132.464","","0.25","prefill","","","",""
"1","womens","6","6","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","1","146.340","","0.25","manual","Shot five, both went for the ball. Unforced error by Jones ends the poin t","166.15","full_match.mp4.webm","4820.0"
"1","womens","6","6","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","1","147.476","","0.25","manual","","","",""
"1","womens","6","6","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","148.620","","0.25","manual","","","",""
"1","womens","6","6","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","fast","1","149.559","","0.25","manual","","","",""
"1","womens","6","6","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","150.072","","0.25","manual","","","",""
"1","womens","6","6","6","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","whiff","0","150.137","","0.25","manual","","","",""
"1","womens","6","6","7","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","fast","1","150.499","","0.25","manual","","","",""
"1","womens","6","6","8","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lunge","1","150.873","","0.25","manual","","","",""
"1","womens","7","7","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","1","166.030","","0.25","manual","Jones goes for the last ball, barely touches it","190.68","full_match.mp4.webm","4820.0"
"1","womens","7","7","2","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","return","1","167.047","","0.25","manual","","","",""
"1","womens","7","7","3","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","168.372","","0.25","manual","","","",""
"1","womens","7","7","4","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","169.205","","0.25","manual","","","",""
"1","womens","7","7","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","fast","1","170.482","","0.25","manual","","","",""
"1","womens","7","7","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","170.950","","0.25","manual","","","",""
"1","womens","7","7","7","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","fast","1","171.706","","0.25","manual","","","",""
"1","womens","7","7","8","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","lunge","1","172.077","","0.25","manual","","","",""
"1","womens","7","7","9","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","fast","1","173.250","","0.25","manual","","","",""
"1","womens","7","7","10","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","whiff","0","174.145","","0.25","manual","","","",""
"1","womens","8","8","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","1","190.572","","0.25","manual","","211.85","full_match.mp4.webm","4820.0"
"1","womens","8","8","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","1","191.703","","0.25","manual","","","",""
"1","womens","8","8","3","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","slow","1","193.079","","0.25","manual","","","",""
"1","womens","8","8","4","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","194.008","","0.25","manual","","","",""
"1","womens","8","8","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","194.637","","0.25","manual","","","",""
"1","womens","8","8","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","195.424","","0.25","manual","","","",""
"1","womens","8","8","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","whiff","0","195.546","","0.25","manual","","","",""
"1","womens","8","8","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","fast","1","195.996","","0.25","manual","","","",""
"1","womens","8","8","9","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","whiff","0","197.466","","0.25","manual","","","",""
"1","womens","9","9","1","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","serve","1","254.062","","0.25","manual","","254.10","full_match.mp4.webm","4820.0"
"1","womens","9","9","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","1","255.200","","0.25","manual","","","",""
"1","womens","9","9","3","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","slow","1","256.520","","0.25","manual","","","",""
"1","womens","9","9","4","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","fast","1","257.843","","0.25","manual","","","",""
"1","womens","9","9","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","258.782","","0.25","manual","","","",""
"1","womens","9","9","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","slow","1","259.205","","0.25","manual","","","",""
"1","womens","9","9","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","slow","1","259.897","","0.25","manual","","","",""
"1","womens","9","9","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","slow","1","261.279","","0.25","manual","","","",""
"1","womens","9","9","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","slow","1","262.036","","0.25","manual","","","",""
"1","womens","9","9","10","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","slow","1","263.329","","0.25","manual","","","",""
"1","womens","9","9","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","263.906","","0.25","manual","","","",""
"1","womens","9","9","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","265.003","","0.25","manual","","","",""
"1","womens","9","9","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","266.114","","0.25","manual","","","",""
"1","womens","9","9","14","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","266.895","","0.25","manual","","","",""
"1","womens","9","9","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","268.066","","0.25","manual","","","",""
"1","womens","9","9","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","268.999","","0.25","manual","","","",""
"1","womens","9","9","17","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","269.873","","0.25","manual","","","",""
"1","womens","9","9","18","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","fast","1","270.264","","0.25","manual","","","",""
"1","womens","9","9","19","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","270.704","","0.25","manual","","","",""
"1","womens","9","9","20","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","whiff","0","270.704","","0.25","manual","","","",""
"1","womens","9","9","21","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","271.382","","0.25","manual","","","",""
"1","womens","9","9","22","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","lob","1","272.839","","0.25","manual","","","",""
"1","womens","9","9","23","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","lob","1","274.904","","0.25","manual","","","",""
"1","womens","9","9","24","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","fast","1","276.513","","0.25","manual","","","",""
"1","womens","9","9","25","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","fast","1","277.372","","0.25","manual","","","",""
"1","womens","9","9","26","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","277.921","","0.25","manual","","","",""
"1","womens","9","9","27","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","slow","1","278.863","","0.25","manual","","","",""
"1","womens","9","9","28","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","279.824","","0.25","manual","","","",""
"1","womens","9","9","29","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","slow","1","280.977","","0.25","manual","","","",""
"1","womens","9","9","30","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","281.826","","0.25","manual","","","",""
"1","womens","10","10","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","1","295.683","295.780","0.25","divergent","shot 14 both went for it (Wei speed up is unforced error)","295.78","full_match.mp4.webm","4820.0"
"1","womens","10","10","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","1","296.912","296.922","0.25","divergent","","","",""
"1","womens","10","10","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drop","1","298.057","","0.25","divergent","","","",""
"1","womens","10","10","4","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","1","299.193","","0.25","divergent","","","",""
"1","womens","10","10","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","speed-up","1","300.232","","0.25","divergent","","","",""
"1","womens","10","10","6","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","301.317","","0.25","divergent","","","",""
"1","womens","10","10","7","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","1","302.336","","0.25","divergent","","","",""
"1","womens","10","10","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","1","302.885","","0.25","divergent","","","",""
"1","womens","10","10","9","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","1","304.033","","0.25","divergent","","","",""
"1","womens","10","10","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","304.637","","0.25","divergent","","","",""
"1","womens","10","10","11","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","305.550","","0.25","divergent","","","",""
"1","womens","10","10","12","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","1","306.010","","0.25","divergent","","","",""
"1","womens","10","10","13","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","306.873","","0.25","divergent","","","",""
"1","womens","10","10","14","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","307.472","","0.25","divergent","","","",""
"1","womens","10","10","15","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","speed-up","1","308.771","","0.25","divergent","","","",""
"1","womens","10","10","16","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","fast","1","309.454","","0.25","manual","","","",""
"1","womens","10","10","17","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","fast","1","310.151","","0.25","manual","","","",""
"1","womens","10","10","18","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","whiff","0","310.151","","0.25","manual","","","",""
"1","womens","10","10","19","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","fast","1","311.073","","0.25","manual","","","",""
"1","womens","10","10","20","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","312.077","","0.25","manual","","","",""
"1","womens","10","10","21","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","312.989","313.052","0.25","manual","","","",""
"1","womens","10","10","22","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","slow","1","314.323","","0.25","manual","","","",""
"1","womens","10","10","23","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","slow","1","315.328","","0.25","manual","","","",""
"1","womens","10","10","24","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","316.000","","0.25","manual","","","",""
"1","womens","10","10","25","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","fast","1","316.533","","0.25","manual","","","",""
"1","womens","10","10","26","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","fast","1","316.961","","0.25","manual","","","",""
"1","womens","10","10","27","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","lunge","1","317.436","","0.25","manual","","","",""
"1","womens","13","13","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","1","332.009","","0.25","prefill","serve out","391.59","full_match.mp4.webm","4820.0"
"1","womens","13","13","2","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","return","1","333.827","","0.25","prefill","","","",""
"1","womens","14","14","1","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","serve","1","358.946","","0.25","prefill","","408.49","full_match.mp4.webm","4820.0"
"1","womens","14","14","2","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","return","1","360.113","","0.25","prefill","","","",""
"1","womens","14","14","3","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","1","361.661","","0.25","prefill","","","",""
"1","womens","14","14","4","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","362.456","","0.25","prefill","","","",""
"1","womens","14","14","5","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drop","1","363.380","","0.25","prefill","","","",""
"1","womens","14","14","6","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","364.441","","0.25","prefill","","","",""
"1","womens","14","14","7","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","365.644","","0.25","prefill","","","",""
"1","womens","14","14","8","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","366.836","","0.25","prefill","","","",""
"1","womens","14","14","9","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","368.113","","0.25","prefill","","","",""
"1","womens","14","14","10","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","lob","1","369.292","","0.25","prefill","","","",""
"1","womens","14","14","11","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","drive","1","371.543","","0.25","prefill","","","",""
"1","womens","15","15","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","1","391.472","","0.5","prefill","Jones moves weirdly after Tuionetoa misses the return","428.47","full_match.mp4.webm","4820.0"
"1","womens","15","15","2","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","return","1","392.481","","0.5","prefill","","","",""
"1","womens","16","16","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","1","408.527","","0.5","prefill","Tuionetoa tries to hit shot 8 but misses","456.75","full_match.mp4.webm","4820.0"
"1","womens","16","16","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","1","409.699","","0.5","prefill","","","",""
"1","womens","16","16","3","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","drop","1","411.015","","0.5","prefill","","","",""
"1","womens","16","16","4","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","411.949","","0.5","prefill","","","",""
"1","womens","16","16","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","1","412.941","","0.5","prefill","","","",""
"1","womens","16","16","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","counter","1","413.385","","0.5","prefill","","","",""
